number,title,body
1367,[WeeklyReport] Weekly report for open-digger 8/14/2023 to 8/21/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 250 (↑1) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 2 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1368,OpenDigger Biweekly Meeting: 2023-08-23,"### Description

Hello everyone, due to personal and member time reasons, this biweekly meeting has been changed to a text version and synchronized under this issue.
# Agenda
### The overview of last two weeks

 - The issue(#1364 )finds the updatedAt value in certain users' meta.json lagged behind repos'. If you encounter the same problem, please leave a comment.
 - The issue (#1360) discovers that the results of metric 'changeRequestsAcceptanceRatio' is random. We later can add a secondary order key. 
 - Add more bot accounts in the issue( #1363)，and these accounts will be eliminate from OpenRank calculation.
### The progress of OSPP2023
- In the last two weeks, @Zzzzzhuzhiwei has added the testdata with determined results into files in this PR(#1359)


### The progress of China Open Source report 2023 "
1371,[Label Data] Add new alibaba open source organizations,"### Label

Alibaba

### Type

Company

### Repos/Orgs/Users


- alibabacloud-automation
- alibaba-archive

### Other information

"
1374,[Feature] Update user/repo info into meta.json,"### Description

Right now, all exported users and repos have a meta.json file to indicate the update timestamp, label info and etc.

Since GitHub API has rate limit for tokens, we can collect users and repos info and put into meta.json file for downstream apps to use. So they do not have to query the GitHub API in frontend. Although the data may not be up-to-date, it still solves lots of problems.

It can be implemented as a cron task."
1376,"[Batch Label Data] Add more label data for Database technical area labled on dbdb.io and DB-Engines Ranking by Aug 26, 2023.","### Description

I want to add some labeled data into OpenDigger to help us for our community analysis.
The data is based on a dataset fused by data from [dbdb.io]() and [DB-Engines]() by **Aug 26, 2023**. It is an incremental version of labeled data submited in , which is based on data by Jul 24, 2023.

Filter conditions: Collected by dbdb.io on **Aug 26, 2023** OR Rankings in the DB-Engines Rankings table on **Aug 26, 2023**; Has open source license; Has repository link on GitHub.

Notes: The DBMS labeled dataset will keep updating incrementally at [birdflyi/db_feature_data_fusion]() each month. The list below is auto-generated by [wiget_autogen_issue_body_for_opendigger_submiting_labeled_data_issue]().

Label: Document

Type: Tech-1

Repos:

- tarantool/tarantool

Label: Graph

Type: Tech-1

Repos:

- falkordb/falkordb

Label: Relational

Type: Tech-1

Repos:

- libsql/libsql

"
1378,[WeeklyReport] Weekly report for open-digger 8/21/2023 to 8/28/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 250 (-) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 5 | 3 | 6 | 5 |

## PR Overview

Thanks to contributions from community, **5** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 4 | #1369 label: add more bot accounts <br>#1370 label: add more bot accounts <br>#1372 label: add orgs to alibaba <br>#1373 label: add more bot accounts <br> |
| @birdflyi | 1 | #1377 Update Data: Update labeled data of Opensource DBMS with a github repo link based on dbdb.io and DB-Engines by Aug 26, 2023. <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1380,[Batch Label Data] Add more label data for generative artificial intelligence,"### Description

Description 
I want to add some labeled data into OpenDigger to help us for our community analysis.
 
Label: Artificial Intelligence - speech

Type: Tech-1

Repos:

- elevenlabs/elevenlabs-python
- resemble-ai/resemble-alexa
- ZohaibAhmed/ChatGPT-Voice
- babysplly/Wellsaidlabs
- coqui-ai/TTS
- yacineMTB/scribepod
- Plachtaa/VALL-E-X
- neonbjb/tortoise-tts
- suno-ai/bark
- huggingface/transformers
- MycroftAI/mycroft-core
- common-voice/common-voice
- pandorabots/rosie
- singnet/dev-portal
- RasaHQ/rasa
- uberduck-ai/uberduck-ml-dev
- explosion/spaCy
- jovotech/jovo-framework
- fastai/fastai
- scikit-learn/scikit-learn

Label: Artificial Intelligence - music

Type: Tech-1

Repos:

- Harmonai-org/sample-generator
- MubertAI/Mubert-Text-to-Music
- lucidrains/musiclm-pytorch
- Cortexelus/dadabots
- AbhilashPal/MuseNet

Label: Artificial Intelligence - video

Type: Tech-1

Repos:

- replicate/cog
- nateraw/stable-diffusion-videos
- lucidrains/musiclm-pytorch
- Cortexelus/dadabots
- AbhilashPal/MuseNet"
1383,[WeeklyReport] Weekly report for open-digger 8/28/2023 to 9/4/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 251 (↑1) | 76 (↑1) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 3 | 3 | 1 |

## PR Overview

Thanks to contributions from community, **1** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 1 | #1379 feat: add cron task for github user info <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @xgdyp | 2 |
| @PureNatural | 2 |


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1384,OpenDigger Biweekly Meeting: 2023-09-06,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
### The overview of last two weeks
#1381 and #1382, these two PRs want to add music, speech, video, code, image and text label data in AI. 
this PR #1377 add labels in 202308 to the database technology repository.
This PR #1379 add cron tasks for update GitHub user info and parse location with Google Maps service.

### The progress of China Open Source report 2023 
If you have anything you want to discuss or learn about, welcome to discuss~"
1385,OpenDigger Biweekly Meeting: 2023-09-20,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
#### The overview of last two weeks

There are two new issues in the last two weeks.
#1388 Now planning to export quarterly and yearly data to use in the future.
#1387  In the future repo can request refined community OpenRank, except community OpenRank.

#### The progress of China Open Source report 2023
Questionnaire progress of  Open Source report 
If you have anything you would like to share with us in the meeting, please leave a message in the comments~"
1386,[WeeklyReport] Weekly report for open-digger 9/4/2023 to 9/11/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 251 (-) | 76 (-) | 37 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 3 | 3 | 0 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @PureNatural | 1 | #1381 label:add music, speech and video label data in AI. <br> |
| @Peng99999 | 1 | #1382 label:add code, image and text label data in AI. <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @xgdyp | 1 |
| @PureNatural | 1 |


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1387,[NOTICE] For any repo requests refined community OpenRank.,"### Description

OpenDigger right now provides community OpenRank results for several repos like X-lab projects, Sealos and 20 projects under Alibaba contribution leaderboard.

In the future, any repo could request the refined community OpenRank, where refined means reactions data which is not in the GitHub log data will also be collected to correct the result.

The only way to get refined community OpenRank is installing [open-digger-bot]() to the repo. After the installation, backend data service will collect all the issues/pulls' reactions for the repo and store into the graph database for further calculation.

Additionally, repos not installing open-digger-bot will also be included in community OpenRank calculation without reactions correction which means we can get all the community OpenRank results for all the repos on GitHub."
